304 5688 Hastings Street	"$749,900"	2	2	Built in 2013 (7 yrs old)	"$2,226"	$554	Burnaby North	Capitol Hill	Apt/Condo	Freehold Strata	1 Storey	R2515961	Doris Gee	RE/MAX Crest Realty	Phil Moore	RE/MAX Crest Realty	49 Days on REW	"Central Location, Recreation Nearby, Shopping Nearby"	"Microwave, Washer/Dryer/Fridge/Stove/Dishwasher"								
245 Brisbane Crescent	"$2,099,000"	3	3	33 ft x 122 ft (4043 ft²)	Built in 1975 (45 yrs old)	"$5,137"	Burnaby North	Capitol Hill	House	Freehold NonStrata	"3 Storey,Basement Entry"	122.5	33.00 feet	R2480010	Robert Almeida PREC*	RE/MAX Crest Realty	154 Days on REW	"Fireplace Insert, Garage Door Opener, Oven - Built In, Pantry, Security System"	"Clothes Washer/Dryer, Dishwasher, Microwave, Range Top, Refrigerator"	2							
5010 Frances Street	"$3,280,000"	9	8	66 ft x 122 ft (8052 ft²)	Built in 2020 (0 yrs old)	"$8,362"	Burnaby North	Capitol Hill	House	Freehold NonStrata	2 Storey w/Bsmt.	122	66.00 feet	R2443729	Tracy Niu PREC*	Nu Stream Realty Inc.	Golda Gao PREC*	Sutton Group-West Coast Realty (Surrey/24)	293 Days on REW	"Air Conditioning, Security System"	Washer/Dryer/Fridge/Stove/Dishwasher	2	Yes				
90 5820 Hastings Street	"$398,000"	3	1	Built in 1965 (55 yrs old)	$0	$445	Burnaby North	Capitol Hill	Apt/Condo	Undivided Interest	"Corner Unit,Upper Unit"	R2432647	Henry Wu PREC*	LeHomes Realty Premier	332 Days on REW												
25 5988 Hastings Street	"$459,000"	1	1	Built in 1993 (27 yrs old)	"$1,476"	$234	Burnaby North	Capitol Hill	Apt/Condo	Freehold Strata	"Corner Unit,Ground Level Unit"	R2524745	Thuy Ngo	Multiple Realty Ltd.	6 Days on REW	"Central Location, Recreation Nearby, Shopping Nearby"	Washer/Dryer/Fridge/Stove/Dishwasher	Bike Room	1								
3 N Fell Avenue	"$1,318,000"	4	2	33 ft x 122 ft (4026 ft²)	Built in 1961 (59 yrs old)	"$4,005"	Burnaby North	Capitol Hill	House	Freehold NonStrata	Rancher/Bungalow w/Bsmt.	122	33.00 feet	R2524810	Patrick Ly	Sutton Centre Realty	6 Days on REW	2									
5881 Dundas Street	"$1,999,000"	4	4	33 ft x 122 ft (4026 ft²)	Built in 2010 (10 yrs old)	"$5,502"	Burnaby North	Capitol Hill	House	Freehold NonStrata	2 Storey w/Bsmt.	122	33.00 feet	R2524067	Daniel Chen	LeHomes Realty Premier	Sarah Wang PREC*	LeHomes Realty Premier	12 Days on REW	"Central Location, Drapes/window Coverings, Garage Door Opener, Lane Access, Private Setting, Security System, Vacuum - Built In"	"Air Conditioning, Recreation Nearby, Shopping Nearby"	"In Suite Laundry, Washer/Dryer/Fridge/Stove/Dishwasher"	1	Yes			
403 5450 Empire Drive	"$425,000"	2	2	Built in 1974 (46 yrs old)	"$1,116"	$426	Burnaby North	Capitol Hill	Apt/Condo	Freehold Strata	"Corner Unit,Penthouse"	R2508030	Denny Dumas PREC*	Keller Williams Elite Realty	Lucas McCann	Keller Williams Elite Realty	76 Days on REW	"Central Location, Golf Course Nearby, Recreation Nearby, Shopping Nearby"	"Dishwasher, Microwave, Refrigerator, Stove"	"Elevator, Shared Laundry"							
301 N Hythe Avenue	"$3,680,000"	4	4	125 ft x 136 ft (16405 ft²)	Built in 1940 (80 yrs old)	"$7,897"	Burnaby North	Capitol Hill	House	Freehold NonStrata	Rancher/Bungalow w/Bsmt.	136	125.00 feet	R2502757	Stacy Cheng	Stilhavn Real Estate Services	Louis Sargeant	Stilhavn Real Estate Services	91 Days on REW	"Drapes/window Coverings, Private Yard"	"Garden, In Suite Laundry, Recreation Nearby, Shopping Nearby, Storage"	Washer/Dryer/Fridge/Stove/Dishwasher	2	Yes			
270 N Ranelagh Avenue	"$1,598,800"	4	2	50 ft x 122 ft (6100 ft²)	Built in 1963 (57 yrs old)	"$4,904"	Burnaby North	Capitol Hill	House	Freehold NonStrata	"2 Storey,Basement Entry"	122	50.00 feet	R2502596	Michelle Hong Yu	Team 3000 Realty Ltd.	91 Days on REW	"Central Location, Private Yard"	"Golf Course Nearby, Recreation Nearby, Shopping Nearby"	Washer/Dryer/Fridge/Stove/Dishwasher	2						
