5020 Blundell Road,"$1,990,000",4,5,83 ft x 113 ft (9616 ft²),Built in 1992 (28 yrs old),"$5,875",Lackner,House,Freehold NonStrata,"2 Storey,Corner Unit",113,83.00 feet,R2520106,Henry Wu PREC*,LeHomes Realty Premier,32 Days on REW,"Drapes/window Coverings, Fireplace Insert, Garage Door Opener, Private Yard, Smoke Alarm",Shopping Nearby,Washer/Dryer/Fridge/Stove/Dishwasher,3,,,,,,
5440 Cathay Road,"$1,888,800",4,3,0 ft x 0 ft (12227 ft²),Built in 1960 (60 yrs old),"$5,381",Lackner,House,Freehold NonStrata,Split Entry,0,0.00 feet,R2515922,Randy Larsen,Macdonald Realty Westmar,49 Days on REW,Central Location,"Garden, In Suite Laundry, Shopping Nearby, Storage, Workshop Attached",2,,,,,,,
3 9211 No. 2 Road,"$1,189,000",4,3,Built in 2017 (3 yrs old),"$4,083",$393,Lackner,Townhouse,Freehold Strata,2 Storey,Heat Recovery Ventilator,R2493031,Aaron Cheng PREC*,Sutton Group - 1st West Realty,118 Days on REW,"Air Conditioning, Drapes/window Coverings, Heat Recovery Ventilator","Central Location, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,"Central Airconditioning, Garden, In Suite Laundry, Playground",Yes,,,,,,
5275 Jaskow Drive,"$1,895,000",5,4,0 ft x 0 ft (6211 ft²),Built in 1994 (26 yrs old),"$5,332",Lackner,House,Freehold NonStrata,2 Storey,IRREG,0.00 feet,R2491356,Steven C Li PREC*,Nu Stream Realty Inc.,123 Days on REW,Washer/Dryer/Fridge/Stove/Dishwasher,2,,,,,,,,
5431 Woodwards Road,"$2,499,000",4,4,79 ft x 98 ft (7760 ft²),Built in 1997 (23 yrs old),"$6,577",Lackner,House,Freehold NonStrata,2 Storey,98,79.00 feet,R2480013,Michael Hu PREC*,RE/MAX Westcoast,Eric Jung Hua Lin PREC*,RE/MAX Westcoast,154 Days on REW,Fireplace Insert,"Garden, In Suite Laundry",Washer/Dryer/Fridge/Stove/Dishwasher,3,Yes,,,
5291 Clifton Road,"$2,780,000",6,6,67 ft x 120 ft (8001 ft²),Built in 2004 (16 yrs old),"$7,131",Lackner,House,Freehold NonStrata,2 Storey,Heat Recovery Ventilator,120,67.00 feet,R2464797,Ellen Guan PREC*,RE/MAX Crest Realty,199 Days on REW,"Air Conditioning, Central Location, Drapes/window Coverings, Fireplace Insert, Garage Door Opener, Heat Recovery Ventilator, Jetted Bathtub, Paved Road, Private Setting, Private Yard, Security System, Vacuum - Built In","Garden, In Suite Laundry, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",1,Yes,,,,
5351 Mytko Crescent,"$1,680,000",5,3,0 ft x 0 ft (5417 ft²),Built in 1993 (27 yrs old),"$4,849",Lackner,House,Freehold NonStrata,2 Storey,0,0.00 feet,R2522166,Peter Teng,Sutton Group-West Coast Realty,21 Days on REW,2,,,,,,,,,
8117 Cantley Road,"$2,380,000",5,6,7000 ft²,Built in 2012 (8 yrs old),"$7,868",Lackner,House,Freehold NonStrata,2 Storey,100.00 feet,R2521192,Patsy Hui,RE/MAX Westcoast,27 Days on REW,"Air Conditioning, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,1,Yes,,,,,,,
5131 Maple Road,"$3,980,000",5,6,66 ft x 135 ft (8912 ft²),Built in 2017 (3 yrs old),"$9,828",Lackner,House,Freehold NonStrata,2 Storey,Heat Recovery Ventilator,135,66.00 feet,R2503116,Kevin Hou PREC*,Nu Stream Realty Inc.,40 Days on REW,"Air Conditioning, Drapes/window Coverings, Garage Door Opener, Heat Recovery Ventilator, Intercom, Security System, Smoke Alarm, Sprinkler - Inground, Vacuum - Built In",Washer/Dryer/Fridge/Stove/Dishwasher,1,Yes,,,,,
9155 Pauleshin Crescent,"$1,720,000",5,3,0 ft x 0 ft (4296 ft²),Built in 2003 (17 yrs old),"$4,919",Lackner,House,Freehold NonStrata,2 Storey,0,0.00 feet,R2510597,Stephen Cheng PREC*,Macdonald Realty Westmar,69 Days on REW,Central Location,Shopping Nearby,2,,,,,,,
4 9820 Haddon Drive,"$1,279,000",4,3,Built in 1989 (31 yrs old),"$3,044",$350,Lackner,Townhouse,Freehold Strata,2 Storey,R2510138,Jim Hornbrook,Sutton Group-West Coast Realty,80 Days on REW,"Central Location, Drapes/window Coverings, Intercom, Oven - Built In, Private Yard",Garden,"Clothes Washer/Dryer, Dishwasher, Range Top, Refrigerator",2,,,,,,,,
